Student_ID,College,Year_of_Study,Branch,CGPA,Backlogs_Active,Primary_Domain,Languages_Known,Frameworks_Known,LeetCode_Easy_Solved,LeetCode_Medium_Solved,LeetCode_Hard_Solved,Total_LeetCode_Solved,DSA_Consistency_Score_0to1,Daily_Coding_Streak_Days,Competitive_Programming_Tier,Number_of_Internships,Best_Internship_Quality,Number_of_Projects,Best_Project_Type,GitHub_Commit_Activity,Open_Source_PRs_Merged,System_Design_Level,System_Design_Books_Read,OS_Networking_Knowledge,Communication_Skill,Attitude_Towards_Prep,Mock_Interviews_Done,Behavioral_Prep_Level,Reading_Habits,Certifications,Hackathon_Wins,LinkedIn_Followers,Tech_Blog_Posts_Written,Resume_Quality,Referral_Status,Networking_Effort,Consistency_Score_0to1,Interview_Rounds_Cleared,Final_Offer_Status,FAANG_Ready_Label
T3CS0765,Oriental College,2,CSE,5.65,0,Android/iOS,"Bash, Go, C++, TypeScript",Node.js,90,156,0,246,0.22,45,Pupil,1,Startup (<10 emp),5,Research Project,None,3,Knows basics,DDIA,Weak,Good,Highly Motivated,10,Fully Prepped,Occasional,GCP Associate,0,1154,1,Weak,Yes - Strong Referral,Active Outreach,0.4,4,Offer from Startup,No
T3CS0766,SIRT Bhopal,3,CSE,8.06,1,Data Engineering,"C++, Go","Express, Node.js, React, PyTorch",149,196,70,415,0.51,172,Candidate Master,3,Open Source Contribution Only,7,Solo Clone,Daily,15,No idea,None,Weak,Average,Low Effort,20,None,Rarely,GCP Associate,1,587,3,ATS Optimized + Strong,Professor Referral,Strong Network,0.9,0,Offer from Product Company,No
T3CS0767,IES IPS Academy,3,CSE,8.93,0,Systems,C++,"FastAPI, Flutter",88,0,19,107,0.13,27,Top 25% LeetCode,1,Mid Startup (50-200),3,Original Team,None,1,Surface knowledge,None,None,Average,Motivated,1,Basic (STAR method),Occasional,None,0,4571,0,Good but not ATS,Yes - Strong Referral,None,0.4,3,No Offer,No
T3CS0768,RGPV Bhopal,4,CSE,9.45,0,Systems,"Go, Kotlin",React,3,61,2,66,0.13,0,LeetCode Knight,0,MAANG/FAANG Adjacent,5,Solo Clone,Weekly,50,Not started,Multiple SD Books,Moderate,Poor,Motivated,1,Basic (STAR method),Daily Tech Reading,Meta Frontend Cert,2,1821,2,Average,Yes - Weak Referral,Passive (just LinkedIn),0.3,0,No Offer,No
T3CS0769,Shri Vaishnav Institute,2,CSE,7.04,1,ML/AI,"C++, Kotlin, Go","Express, Node.js, TensorFlow, React, Spring Boot",143,69,46,258,0.91,276,Top 10% LeetCode,0,Startup (<10 emp),6,Original Team,Weekly,1,Knows basics well,None,Weak,Excellent,Passive,0,None,Daily Tech Reading,Google ML Crash Course,1,985,2,Average,Yes - Strong Referral,Passive (just LinkedIn),0.73,5,Offer from Mid Company,No
T3CS0770,RGPV Bhopal,4,CSE,9.2,1,Backend,"Python, C++, Java, Rust, Kotlin, TypeScript","PyTorch, Node.js, Express, Spring Boot, TensorFlow, Flutter",254,190,56,500,0.51,212,LeetCode Knight,0,No Internship,10,Original Team,Weekly,3,No idea,DDIA,Strong,Good,Motivated,10,Basic (STAR method),Rarely,AWS Certified,0,4079,2,Weak,Yes - Strong Referral,Passive (just LinkedIn),0.87,2,No Offer,No
T3CS0771,RJIT Gwalior,2,CSE,6.0,0,ML/AI,"Kotlin, Java, TypeScript","TensorFlow, Django, Flutter, FastAPI",166,158,26,350,0.31,242,Specialist (CF),2,Small Startup (10-50),6,Open Source Contrib,Monthly,5,Surface knowledge,DDIA,None,Good,Motivated,1,Basic (STAR method),Books (DSA/System Design),Google ML Crash Course,0,3348,0,Weak,Alumni Referral,Active Outreach,0.74,2,Offer from Product Company,No
T3CS0772,Oriental College,3,CSE,9.31,0,Full Stack,"Go, Python, Kotlin","Django, Next.js",0,96,34,130,0.18,105,Candidate Master,1,No Internship,2,Original Team,Rarely,2,Knows basics,None,None,Average,Highly Motivated,1,Basic (STAR method),Books (DSA/System Design),Google ML Crash Course,0,3831,0,ATS Optimized,Professor Referral,Passive (just LinkedIn),0.84,0,No Offer,No
T3CS0773,Patel College of Science,4,CSE,6.07,2,Backend,"Python, C++, Go, JavaScript, Kotlin","Node.js, FastAPI, Flutter, TensorFlow, React",156,234,53,443,0.18,133,Newbie,1,Service Company (Tier-2),4,Solo Clone,Rarely,20,Surface knowledge,Multiple SD Books,Moderate,Poor,Neutral,7,Basic (STAR method),Weekly Tech Blogs,Azure Fundamentals,0,1241,20,Weak,Professor Referral,Passive (just LinkedIn),0.83,0,FAANG Offer,Yes
T3CS0774,Renaissance College,3,CSE,7.29,0,Android/iOS,"C++, Java, Bash, TypeScript, Kotlin, Rust","Spring Boot, Node.js, Express",263,129,73,465,0.45,128,Newbie,1,Startup (<10 emp),7,Research Project,Daily,50,Knows basics well,Grokking + DDIA,Weak,Average,Low Effort,7,None,Weekly Tech Blogs,Meta Frontend Cert,0,189,1,Weak,Alumni Referral,None,0.86,2,Offer from Mid Company,No
T3CS0775,Patel College of Science,3,CSE,9.09,2,DevOps,Kotlin,Next.js,86,0,8,94,0.12,61,Top 10% LeetCode,2,Small Startup (10-50),2,Original Team,Monthly,1,No idea,Grokking + DDIA,Weak,Poor,Neutral,30,Practiced 10+,Daily Tech Reading,Coursera Specialization,0,980,1,No Resume Yet,Yes - Weak Referral,Strong Network,0.51,2,No Offer,No
T3CS0776,Truba Institute,3,CSE,6.17,0,Backend,"Java, C++","TensorFlow, Express",143,205,32,380,0.46,81,Pupil,0,No Internship,3,Original Team,Daily,15,Knows basics,None,Moderate,Excellent,Motivated,30,Basic (STAR method),Rarely,AWS Certified,0,1698,3,Average,No Referral,None,1.0,3,No Offer,No
T3CS0777,LNCT Bhopal,3,CSE,6.53,0,ML/AI,"Go, SQL, C++, Python, Java, TypeScript","React, Next.js, Spring Boot, Node.js",246,102,129,477,0.41,256,LeetCode Knight (near),0,Small Startup (10-50),6,Open Source Contrib,Monthly,20,Knows basics well,None,Strong,Good,Motivated,10,Basic (STAR method),Books (DSA/System Design),Azure Fundamentals,2,1715,2,Weak,Yes - Strong Referral,None,0.46,1,Offer from Mid Company,No
T3CS0778,TIT Bhopal,3,CSE,8.75,2,DevOps,"Rust, JavaScript, TypeScript, Go, C++, Java, Kotlin","Flutter, PyTorch, Spring Boot, TensorFlow",179,204,80,463,0.68,217,Unrated/NA,1,Startup (<10 emp),9,Team Clone,Weekly,2,Knows basics well,None,Strong,Below Average,Passive,10,Practiced 10+,Daily Tech Reading,Coursera Specialization,1,2593,0,ATS Optimized,Yes - Weak Referral,Passive (just LinkedIn),0.93,1,Offer from Mid Company,No
T3CS0779,NRI Institute,3,CSE,8.74,0,Android/iOS,"C++, Go","React, Django, TensorFlow, FastAPI, Node.js",144,178,82,404,0.73,326,LeetCode Knight (near),1,No Internship,10,Original Team,Daily,2,Can design distributed systems,Multiple SD Books,None,Average,Low Effort,15,Basic (STAR method),Books (DSA/System Design),AWS Certified,0,4136,1,Average,Yes - Strong Referral,None,0.58,3,Offer from Startup,No
T3CS0780,Bansal College,2,CSE,8.39,0,Data Engineering,"JavaScript, Java, Rust, TypeScript, C++","FastAPI, Node.js, Express",161,35,24,220,0.27,0,Pupil,0,MAANG/FAANG Adjacent,2,Production Deployed,None,0,Surface knowledge,None,Moderate,Average,Neutral,7,Practiced 10+,Daily Tech Reading,GCP Associate,1,4433,20,ATS Optimized + Strong,Professor Referral,Passive (just LinkedIn),0.16,0,No Offer,No
T3CS0781,TIT Bhopal,4,CSE,8.62,0,DevOps,"TypeScript, Python, Bash","Django, Express, Flutter",87,94,29,210,0.37,168,Pupil,0,Startup (<10 emp),5,Open Source Contrib,Daily,5,Not started,None,None,Below Average,Motivated,7,Practiced 30+,Books (DSA/System Design),Coursera Specialization,0,1098,15,ATS Optimized,Professor Referral,None,0.54,1,No Offer,No
T3CS0782,RJIT Gwalior,4,CSE,7.94,0,ML/AI,"Go, Rust, TypeScript, Java, JavaScript","Spring Boot, FastAPI",50,0,10,60,0.14,178,Expert (CF),1,Service Company (Tier-3),4,Production Deployed,None,1,Not started,DDIA,Weak,Below Average,Neutral,7,Practiced 10+,Weekly Tech Blogs,Coursera Specialization,0,2326,5,Average,Alumni Referral,Active Outreach,0.43,2,No Offer,No
T3CS0783,Truba Institute,3,CSE,6.63,0,DevOps,"Kotlin, SQL, C++, JavaScript, Rust, Bash",Express,87,136,35,258,0.19,0,Expert (CF),0,Startup (<10 emp),1,Open Source Contrib,Monthly,0,Not started,DDIA,None,Excellent,Highly Motivated,20,None,Never,Coursera Specialization,1,3247,20,ATS Optimized,Alumni Referral,Passive (just LinkedIn),0.49,2,No Offer,No
T3CS0784,Patel College of Science,3,CSE,7.06,0,DevOps,TypeScript,FastAPI,75,116,0,191,0.21,160,Pupil,1,No Internship,6,Open Source Contrib,Monthly,3,Not started,None,Strong,Excellent,Low Effort,3,Practiced 10+,Daily Tech Reading,Multiple Certs,2,895,0,Weak,Professor Referral,None,0.73,5,Offer from Product Company,No
T3CS0785,SAGE University,3,CSE,6.32,0,Android/iOS,"Java, Kotlin, Go",Node.js,128,91,50,269,0.13,0,Top 50% LeetCode,1,MAANG/FAANG Adjacent,3,Original Solo,Monthly,10,Not started,None,None,Average,Neutral,30,Basic (STAR method),Daily Tech Reading,Azure Fundamentals,0,1674,0,ATS Optimized + Strong,Yes - Strong Referral,Active Outreach,0.62,1,No Offer,No
T3CS0786,IIST Indore,3,CSE,9.59,1,DevOps,"Python, Java, Kotlin",Django,72,104,0,176,0.3,154,Newbie,2,MAANG/FAANG Adjacent,3,Production Deployed,Rarely,10,Knows basics,None,None,Good,Passive,3,Basic (STAR method),Occasional,Multiple Certs,1,2909,3,Average,Professor Referral,None,0.77,2,No Offer,No
T3CS0787,Oriental College,3,CSE,8.13,0,Systems,"Rust, C++",TensorFlow,113,71,43,227,0.34,73,Unrated/NA,1,Startup (<10 emp),6,Original Solo,Monthly,0,Knows basics,DDIA,Moderate,Poor,Neutral,7,Practiced 10+,Daily Tech Reading,Azure Fundamentals,1,930,5,No Resume Yet,Alumni Referral,Passive (just LinkedIn),0.68,3,No Offer,No
T3CS0788,Bansal College,3,CSE,7.3,0,ML/AI,Go,TensorFlow,141,16,35,192,0.2,31,Specialist (CF),2,MAANG/FAANG Adjacent,3,Solo Clone,Rarely,0,Knows basics,None,Moderate,Below Average,Passive,5,Practiced 10+,Occasional,Multiple Certs,0,4384,5,Average,Professor Referral,Passive (just LinkedIn),0.66,0,No Offer,No
T3CS0789,TIT Bhopal,4,CSE,7.58,0,Systems,"JavaScript, Bash, Kotlin, Rust, TypeScript","Django, React",117,146,10,273,0.53,310,Pupil,0,Service Company (Tier-3),4,Open Source Contrib,Rarely,20,Knows basics,DDIA,Moderate,Average,Passive,10,Practiced 30+,Occasional,None,0,723,0,No Resume Yet,Alumni Referral,Passive (just LinkedIn),0.5,1,No Offer,No
T3CS0790,SIRT Bhopal,3,CSE,9.76,0,Full Stack,"SQL, Go, Bash, Python",TensorFlow,151,165,4,320,0.44,89,LeetCode Knight,2,No Internship,3,Solo Clone,None,15,Knows basics well,DDIA,None,Below Average,Low Effort,3,Basic (STAR method),Occasional,Azure Fundamentals,0,2940,10,Average,Professor Referral,Active Outreach,0.89,3,Offer from Mid Company,No
T3CS0791,LNCT Bhopal,3,CSE,6.19,1,Systems,"C++, SQL",Flutter,136,0,59,195,0.3,0,Top 25% LeetCode,0,Product Company,4,Production Deployed,Daily,10,Not started,None,Moderate,Good,Passive,3,None,Weekly Tech Blogs,Google ML Crash Course,0,1089,2,No Resume Yet,Yes - Strong Referral,Passive (just LinkedIn),0.5,0,No Offer,No
T3CS0792,Shri Vaishnav Institute,3,CSE,8.14,0,Full Stack,"Go, Bash, Python, C++, Java, TypeScript","Spring Boot, FastAPI, Node.js",149,194,68,411,0.19,31,LeetCode Knight,0,Open Source Contribution Only,7,Research Project,Monthly,1,Knows basics,None,Moderate,Good,Motivated,7,Practiced 10+,Weekly Tech Blogs,Google ML Crash Course,0,4578,5,Average,No Referral,None,0.71,2,No Offer,No
T3CS0793,Medicaps University,4,CSE,7.78,0,Backend,"C++, Python, Bash, SQL",PyTorch,20,74,0,94,0.26,111,Unrated/NA,1,Service Company (Tier-3),2,Production Deployed,Monthly,20,No idea,DDIA,Weak,Average,Low Effort,20,Fully Prepped,Never,None,0,935,0,Good but not ATS,Yes - Strong Referral,None,0.58,4,Offer from Startup,No
T3CS0794,Truba Institute,2,CSE,8.25,0,Android/iOS,"JavaScript, Java, TypeScript, C++, Bash","React, Flutter, Express, Django, Spring Boot",242,175,55,472,0.61,238,Newbie,1,Mid Startup (50-200),6,Research Project,Daily,2,Surface knowledge,DDIA,Moderate,Excellent,Highly Motivated,7,None,Occasional,Multiple Certs,3,2295,0,ATS Optimized,No Referral,None,0.35,1,Offer from Startup,No
T3CS0795,Acropolis Institute,3,CSE,5.58,1,Full Stack,"Python, Rust",Next.js,123,103,41,267,0.36,158,Unrated/NA,2,No Internship,8,Original Solo,Monthly,3,Surface knowledge,Grokking SD,Weak,Poor,Low Effort,3,Basic (STAR method),Daily Tech Reading,Azure Fundamentals,0,155,10,ATS Optimized,No Referral,Passive (just LinkedIn),0.88,0,Offer from Product Company,No
T3CS0796,IES IPS Academy,2,CSE,9.42,2,Full Stack,"Java, Rust","Django, Next.js, Flutter, Express",126,126,76,328,0.55,204,Specialist (CF),0,Product Company,5,Research Project,Monthly,20,Not started,Multiple SD Books,Moderate,Poor,Motivated,3,Practiced 10+,Daily Tech Reading,AWS Certified,0,1070,20,ATS Optimized,Alumni Referral,Passive (just LinkedIn),0.5,4,Offer from Mid Company,No
T3CS0797,SGSITS Indore,4,CSE,9.69,1,Cybersecurity,"SQL, TypeScript, JavaScript","React, Express",74,57,36,167,0.29,97,Candidate Master,2,Mid Startup (50-200),4,Original Solo,None,5,Knows basics well,Grokking SD,Moderate,Poor,Highly Motivated,5,Basic (STAR method),Weekly Tech Blogs,Google ML Crash Course,2,1958,20,Good but not ATS,Yes - Strong Referral,Active Outreach,0.61,3,Offer from Mid Company,No
T3CS0798,SAGE University,2,CSE,8.04,0,Data Engineering,"Rust, TypeScript, Bash","TensorFlow, Express, PyTorch, FastAPI, Django",153,240,45,438,0.47,295,Top 10% LeetCode,1,Service Company (Tier-2),3,Original Team,Rarely,0,Knows basics,DDIA,Weak,Average,Highly Motivated,3,None,Books (DSA/System Design),Multiple Certs,0,2501,0,Good but not ATS,Yes - Weak Referral,Passive (just LinkedIn),1.0,0,FAANG Offer (Deferred),Yes
T3CS0799,SIRT Bhopal,4,CSE,8.63,0,Full Stack,Kotlin,"React, Flutter, Spring Boot, FastAPI",66,103,0,169,0.17,215,Top 50% LeetCode,0,Startup (<10 emp),2,Original Solo,Monthly,10,Knows basics well,None,Strong,Good,Neutral,30,Basic (STAR method),Daily Tech Reading,GCP Associate,0,4219,0,Average,Yes - Strong Referral,Passive (just LinkedIn),0.83,0,No Offer,No
T3CS0800,Renaissance College,2,CSE,9.65,0,Android/iOS,"JavaScript, Rust, Go, Kotlin, TypeScript, Python, Java, SQL","Node.js, Django, Express, Next.js",165,237,59,461,0.83,131,Expert (CF),2,Service Company (Tier-2),6,Production Deployed,Weekly,15,Not started,DDIA,None,Good,Motivated,20,Practiced 30+,Occasional,Google ML Crash Course,0,3830,0,ATS Optimized,Yes - Strong Referral,Passive (just LinkedIn),0.56,0,FAANG Offer,Yes
T3CS0801,Oriental College,4,CSE,8.68,0,Systems,"Kotlin, Java, Go, C++, TypeScript","React, Django",132,88,20,240,0.28,186,Specialist (CF),1,Mid Startup (50-200),7,Production Deployed,Rarely,0,Knows basics well,DDIA,Moderate,Average,Highly Motivated,10,Practiced 10+,Daily Tech Reading,Multiple Certs,3,854,1,ATS Optimized,Yes - Weak Referral,Active Outreach,0.17,3,Offer from Mid Company,No
T3CS0802,Acropolis Institute,3,CSE,6.19,0,Android/iOS,"TypeScript, JavaScript, C++, Kotlin, Bash, Rust","React, Express, FastAPI, Next.js, Spring Boot",181,170,77,428,0.69,146,Specialist (CF),0,Product Company,7,Open Source Contrib,Weekly,3,Not started,None,Strong,Excellent,Motivated,20,Practiced 10+,Daily Tech Reading,Meta Frontend Cert,1,639,0,Weak,No Referral,None,0.71,5,Offer from Mid Company,No
T3CS0803,Oriental College,3,CSE,8.09,0,Data Engineering,"Java, SQL, C++",Next.js,0,105,25,130,0.2,67,Candidate Master,1,Startup (<10 emp),2,Research Project,Monthly,5,Not started,Multiple SD Books,None,Excellent,Low Effort,1,None,Books (DSA/System Design),Meta Frontend Cert,2,2238,5,Good but not ATS,Yes - Strong Referral,Passive (just LinkedIn),0.44,1,No Offer,No
T3CS0804,Truba Institute,3,CSE,8.23,0,Cybersecurity,"JavaScript, Kotlin",Express,131,14,0,145,0.15,34,Expert (CF),1,Startup (<10 emp),1,Open Source Contrib,None,3,Surface knowledge,Grokking SD,Weak,Poor,Neutral,5,Practiced 30+,Weekly Tech Blogs,None,2,1602,2,No Resume Yet,Yes - Strong Referral,Passive (just LinkedIn),0.62,0,No Offer,No
T3CS0805,SAGE University,2,CSE,7.41,1,Android/iOS,"TypeScript, SQL, Rust, C++, Bash",TensorFlow,121,122,5,248,0.23,130,Candidate Master,1,Open Source Contribution Only,7,Original Team,Weekly,15,Surface knowledge,Grokking SD,Strong,Below Average,Low Effort,30,None,Weekly Tech Blogs,Coursera Specialization,1,441,10,ATS Optimized + Strong,Professor Referral,Passive (just LinkedIn),0.6,5,No Offer,No
T3CS0806,RGPV Bhopal,2,CSE,8.81,0,Full Stack,"Kotlin, Go, JavaScript, TypeScript",Flutter,80,34,0,114,0.25,64,Newbie,2,Service Company (Tier-2),6,Production Deployed,Monthly,20,Surface knowledge,None,Moderate,Excellent,Neutral,15,None,Weekly Tech Blogs,Meta Frontend Cert,1,4628,0,ATS Optimized,Professor Referral,None,0.34,4,No Offer,No
T3CS0807,SAGE University,3,CSE,9.7,0,DevOps,"Kotlin, SQL","Express, FastAPI, Node.js, TensorFlow",185,118,73,376,0.43,229,Newbie,1,Open Source Contribution Only,5,Research Project,Weekly,1,Not started,None,Moderate,Poor,Highly Motivated,1,Practiced 10+,Rarely,Meta Frontend Cert,0,1336,10,ATS Optimized + Strong,Alumni Referral,None,0.51,0,Offer from Product Company,No
T3CS0808,Bansal College,3,CSE,9.67,0,Cybersecurity,"C++, JavaScript, Bash","Django, FastAPI, React",134,110,16,260,0.36,170,Candidate Master,1,MAANG/FAANG Adjacent,6,Original Team,Daily,0,Knows basics,None,Weak,Average,Highly Motivated,20,None,Occasional,Meta Frontend Cert,2,3700,0,ATS Optimized + Strong,Professor Referral,None,0.91,2,No Offer,No
T3CS0809,Bansal College,3,CSE,7.53,0,Full Stack,"C++, Kotlin","FastAPI, React, Django",158,50,41,249,0.35,13,Unrated/NA,0,Service Company (Tier-2),4,Original Team,Monthly,20,Not started,None,Weak,Below Average,Low Effort,5,Practiced 10+,Never,Google ML Crash Course,1,948,5,ATS Optimized + Strong,No Referral,None,0.6,2,No Offer,No
T3CS0810,SGSITS Indore,3,CSE,6.01,0,Full Stack,"TypeScript, SQL, Kotlin, Bash, Python, Java","Spring Boot, Express, Flutter, Node.js",186,221,114,521,0.59,246,Pupil,1,No Internship,5,Original Team,Weekly,15,Knows basics,Grokking + DDIA,Weak,Average,Highly Motivated,20,Practiced 10+,Rarely,Google ML Crash Course,1,3373,20,Weak,No Referral,Strong Network,0.87,1,Offer from Mid Company,No
T3CS0811,RGPV Bhopal,3,CSE,9.93,0,Data Engineering,"Go, SQL, Rust, Python","Django, React, PyTorch, FastAPI",154,98,46,298,0.68,330,LeetCode Knight,2,MAANG/FAANG Adjacent,4,Original Solo,Weekly,50,No idea,Grokking + DDIA,Moderate,Good,Motivated,2,None,Never,Meta Frontend Cert,0,459,1,No Resume Yet,Yes - Weak Referral,None,0.92,2,Multiple FAANG Offers,Yes
T3CS0812,Patel College of Science,2,CSE,9.28,0,Systems,"SQL, Go, TypeScript, JavaScript, Python","React, Express, PyTorch, Node.js, Django",132,51,64,247,0.72,354,LeetCode Knight (near),0,Open Source Contribution Only,8,Solo Clone,Monthly,20,Not started,None,Strong,Poor,Highly Motivated,15,None,Occasional,Multiple Certs,0,4646,1,No Resume Yet,No Referral,Passive (just LinkedIn),0.64,0,No Offer,No
T3CS0813,SIRT Bhopal,4,CSE,6.06,0,DevOps,"C++, Java","Next.js, Node.js",31,89,28,148,0.15,0,Expert (CF),0,No Internship,1,Solo Clone,Monthly,3,Knows basics,None,Weak,Average,Motivated,5,None,Never,Coursera Specialization,0,392,15,ATS Optimized,No Referral,Active Outreach,0.54,0,No Offer,No
T3CS0814,Patel College of Science,3,CSE,9.64,0,Backend,"Java, SQL, TypeScript, Kotlin","TensorFlow, Django, Flutter, React",198,100,100,398,0.38,332,LeetCode Guardian,0,Mid Startup (50-200),2,Production Deployed,Daily,1,Knows basics well,None,Moderate,Average,Neutral,7,Practiced 10+,Books (DSA/System Design),None,0,3938,0,No Resume Yet,Professor Referral,Strong Network,0.58,0,Offer from Startup,No
T3CS0815,Malwa Institute,3,CSE,9.41,1,Data Engineering,"Java, Kotlin, Bash, Go, C++","TensorFlow, PyTorch",129,71,66,266,0.37,134,Unrated/NA,1,No Internship,6,Open Source Contrib,Rarely,20,Knows basics well,Grokking SD,Moderate,Good,Highly Motivated,1,Basic (STAR method),Never,None,1,1787,0,Good but not ATS,Alumni Referral,Passive (just LinkedIn),0.57,0,No Offer,No
T3CS0816,Renaissance College,4,CSE,7.83,0,Android/iOS,"Python, TypeScript, JavaScript","React, FastAPI",77,81,14,172,0.15,175,Expert (CF),0,Service Company (Tier-2),7,Solo Clone,Monthly,10,Surface knowledge,None,Moderate,Average,Passive,0,Practiced 10+,Books (DSA/System Design),Azure Fundamentals,5,4940,0,Average,Alumni Referral,None,0.65,1,No Offer,No
T3CS0817,RGPV Bhopal,3,CSE,8.16,0,ML/AI,Go,"Django, React",98,18,0,116,0.23,45,Master,1,Startup (<10 emp),1,Original Team,Monthly,3,Surface knowledge,Grokking SD,Moderate,Average,Highly Motivated,2,Practiced 10+,Rarely,Google ML Crash Course,0,2257,1,Average,Yes - Weak Referral,None,0.6,2,No Offer,No
T3CS0818,Renaissance College,2,CSE,7.3,1,ML/AI,"SQL, JavaScript, Go, Python, Bash, Kotlin, Java","FastAPI, Node.js, React, Flutter, TensorFlow",216,62,66,344,0.88,369,LeetCode Knight (near),1,Service Company (Tier-2),10,Team Clone,Daily,2,Knows basics,None,Strong,Average,Neutral,1,None,Books (DSA/System Design),GCP Associate,5,1138,20,Weak,Alumni Referral,Passive (just LinkedIn),0.51,0,No Offer,No
T3CS0819,SIRT Bhopal,3,CSE,5.75,0,Full Stack,"SQL, Kotlin, JavaScript, TypeScript, Go, Python, Rust","Node.js, Next.js, FastAPI, PyTorch, Spring Boot",166,280,70,516,0.63,342,LeetCode Guardian,1,No Internship,7,Solo Clone,Weekly,10,Knows basics well,Grokking SD,Weak,Average,Low Effort,15,Practiced 10+,Daily Tech Reading,Coursera Specialization,0,3808,5,Average,Yes - Strong Referral,Passive (just LinkedIn),0.96,1,No Offer,No
T3CS0820,Patel College of Science,3,CSE,7.01,0,Systems,"TypeScript, SQL, JavaScript","Next.js, PyTorch, React",98,0,44,142,0.56,181,Pupil,0,No Internship,6,Team Clone,None,15,Surface knowledge,DDIA,Moderate,Average,Low Effort,2,None,Rarely,None,2,4741,0,No Resume Yet,Yes - Weak Referral,Passive (just LinkedIn),0.83,0,No Offer,No
T3CS0821,LNCT Bhopal,4,CSE,9.11,0,Data Engineering,"SQL, Bash, Python, C++, TypeScript",FastAPI,85,3,10,98,0.13,0,LeetCode Guardian,0,No Internship,3,Team Clone,Daily,5,Knows basics,Grokking SD,Moderate,Below Average,Low Effort,7,Basic (STAR method),Daily Tech Reading,AWS Certified,1,2454,0,Good but not ATS,Professor Referral,Passive (just LinkedIn),0.77,0,No Offer,No
T3CS0822,LNCT Bhopal,4,CSE,5.52,0,Data Engineering,"SQL, Python, TypeScript, Bash","TensorFlow, React, FastAPI, Spring Boot",106,4,103,213,0.16,167,Expert (CF),1,No Internship,3,Solo Clone,Rarely,0,Surface knowledge,None,Moderate,Average,Neutral,3,None,Never,Meta Frontend Cert,2,1466,20,Average,Alumni Referral,Active Outreach,1.0,3,No Offer,No
T3CS0823,IES IPS Academy,3,CSE,7.0,0,Backend,"SQL, Rust, C++, TypeScript",Next.js,84,30,0,114,0.15,88,Candidate Master,2,Service Company (Tier-3),3,Original Team,Daily,1,Knows basics,Grokking SD,Weak,Average,Low Effort,7,Practiced 10+,Daily Tech Reading,Meta Frontend Cert,5,3674,20,Good but not ATS,No Referral,Passive (just LinkedIn),0.6,1,Offer from Mid Company,No
T3CS0824,Truba Institute,3,CSE,7.29,0,Cybersecurity,"Python, SQL","Next.js, TensorFlow, Django, Express, FastAPI",145,95,69,309,0.63,149,Expert (CF),1,Service Company (Tier-3),4,Original Solo,Weekly,0,Knows basics well,Grokking SD,Moderate,Good,Highly Motivated,10,Practiced 10+,Occasional,Multiple Certs,1,1377,5,Average,Yes - Weak Referral,Active Outreach,1.0,0,No Offer,No
T3CS0825,SGSITS Indore,3,CSE,7.92,0,Data Engineering,"Python, Go, SQL, TypeScript","TensorFlow, Express, Django",109,142,68,319,0.2,0,Master,1,No Internship,4,Production Deployed,None,15,Can design distributed systems,Grokking SD,Weak,Good,Motivated,1,Fully Prepped,Daily Tech Reading,Meta Frontend Cert,0,2597,0,Good but not ATS,Yes - Strong Referral,Active Outreach,0.39,0,No Offer,No
T3CS0826,LNCT Bhopal,3,CSE,9.64,0,Data Engineering,"Bash, SQL, Kotlin, C++, Python, JavaScript","Next.js, Express",240,168,40,448,0.67,121,Specialist (CF),0,Small Startup (10-50),5,Original Solo,Weekly,3,Knows basics well,Multiple SD Books,Strong,Good,Neutral,30,None,Never,Multiple Certs,0,141,15,No Resume Yet,Yes - Weak Referral,Passive (just LinkedIn),0.64,0,Offer from Mid Company,No
T3CS0827,Renaissance College,3,CSE,7.06,0,Backend,"C++, TypeScript",Django,31,13,19,63,0.19,0,LeetCode Guardian,1,Mid Startup (50-200),1,Solo Clone,Monthly,3,Knows basics,DDIA,Moderate,Excellent,Neutral,5,Practiced 30+,Occasional,GCP Associate,0,2659,10,Average,Yes - Strong Referral,Passive (just LinkedIn),0.48,5,No Offer,No
T3CS0828,SGSITS Indore,3,CSE,7.06,0,Cybersecurity,"Go, Kotlin, C++, Java, Python, Rust","Node.js, PyTorch, Express, React",138,138,54,330,0.6,234,Top 50% LeetCode,2,No Internship,6,Open Source Contrib,Weekly,50,Knows basics,Multiple SD Books,Strong,Below Average,Highly Motivated,20,Practiced 10+,Never,AWS Certified,0,4596,3,Average,Yes - Strong Referral,Passive (just LinkedIn),1.0,1,Offer from Startup,No
T3CS0829,Oriental College,4,CSE,8.82,0,DevOps,"Rust, Kotlin, Java","TensorFlow, Node.js, Express, Spring Boot",73,221,53,347,0.22,102,LeetCode Guardian,0,Service Company (Tier-2),2,Production Deployed,Monthly,3,No idea,Grokking + DDIA,None,Average,Motivated,1,Basic (STAR method),Rarely,AWS Certified,3,839,3,ATS Optimized,Professor Referral,Passive (just LinkedIn),0.86,0,No Offer,No
T3CS0830,IIST Indore,3,CSE,7.53,0,Android/iOS,"TypeScript, Python, JavaScript, C++","PyTorch, Next.js",132,155,0,287,0.26,57,Top 50% LeetCode,1,Startup (<10 emp),7,Original Solo,Weekly,2,Not started,Grokking SD,Moderate,Average,Motivated,30,Fully Prepped,Daily Tech Reading,Multiple Certs,5,3618,1,Weak,No Referral,Active Outreach,0.94,2,No Offer,No
